Delta_V_H,HII_T,QHI,R_H,dNLLdz,gamma_PI_H,global_T,mfp_H,redshift
59.21,164657.3806349108,1.1119519020435438e-06,4.580087845480528,19507.123118628497,2.7628737170304895e-08,18.098258918284955,2.0990703755926684e+20,24.8
59.21,111131.18645819434,2.389759908509381e-06,4.580886109037574,56.4130245614332,1.1293108938536343e-05,17.885708832851225,7.400985067778596e+22,24.6
59.21,78173.2800308672,3.854778762211178e-06,4.581734427452083,52.11251230609096,1.4433746876412507e-05,17.642923294879118,8.170372170182394e+22,24.4
59.21,55372.72437019819,5.488702480815318e-06,4.582618909140707,53.21325087409745,1.665784745309037e-05,17.379246432985283,8.161054767060683e+22,24.2
59.21,39620.70377181508,7.249678014341706e-06,4.583537173226192,56.30002193131325,1.852083479015734e-05,17.104262203319923,7.868793005756996e+22,24.0
59.21,28813.414202841643,9.073221420112334e-06,4.584486330816445,60.504044521757265,2.022792228627587e-05,16.82495105022743,7.470546013721173e+22,23.8
59.21,21516.270404521754,1.0898998462066256e-05,4.585464331369405,65.25144472729168,2.2029638698473665e-05,16.54680581595985,7.068663002350422e+22,23.6
59.21,16735.190253297784,1.269243643992715e-05,4.586469522935407,69.87022485579394,2.4113766473059864e-05,16.27390715838357,6.737482761574156e+22,23.4
59.21,13752.383539998636,1.4494308172254944e-05,4.587500695296609,73.61214826349836,2.6778460191825002e-05,16.009130187615938,6.527932226175478e+22,23.2
59.21,12014.567850001846,1.643100174793153e-05,4.588557059637214,75.87011307197923,3.0343912539248237e-05,15.753947475707903,6.466419132204106e+22,23.0
59.21,11080.256701770602,1.8675703112636605e-05,4.589638455926628,76.45293272610112,3.509733370828123e-05,15.508553096134811,6.552775020897504e+22,22.8
59.21,10617.440888448966,2.1412680191381858e-05,4.590745401680106,75.59188847283006,4.1368722205226735e-05,15.27257586461108,6.7687064529237264e+22,22.6
59.21,10407.457473689774,2.479729192394603e-05,4.591878769682679,73.69197634034735,4.938206929813865e-05,15.045617731954033,7.092512116356293e+22,22.4
59.21,10324.90276777251,2.896776924848531e-05,4.593039499866544,71.15337018407169,5.94082983249018e-05,14.827661982529918,7.504875892386428e+22,22.2
59.21,10304.593105827034,3.4063198156401006e-05,4.594228333319741,68.2781159421751,7.178884647837201e-05,14.619138967884762,7.992024699159792e+22,22.0
59.21,10314.420814513513,4.023510582846144e-05,4.595445728508494,65.26651277232023,8.693099975777296e-05,14.420856607761872,8.545340214868664e+22,21.8
59.21,10338.92423379183,4.765187387672839e-05,4.596691861678805,62.24350018653226,0.00010529177125841211,14.233914903996544,9.159899104554217e+22,21.6
59.21,10370.739497147513,5.655235152832286e-05,4.597966645260631,59.28518661944202,0.00012772193298882096,14.060023518239692,9.833054098931928e+22,21.4
59.21,10406.257512638873,6.717714139862086e-05,4.599269450501821,56.41949921736128,0.00015478532831293668,13.900970016242173,1.056675973486595e+23,21.2
59.21,10443.763336612426,7.980838362159027e-05,4.600599448373188,53.67344258322741,0.00018731160731118648,13.758894919103977,1.1361511942323814e+23,21.0
59.21,10482.418085304182,9.477814040276346e-05,4.601955376223894,51.05959334807028,0.00022628720878242943,13.636344116971088,1.2218909256641597e+23,20.8
59.21,10521.804451711401,0.00011247340710751436,4.603335453096731,48.58152481375252,0.0002728515513102736,13.536306038852778,1.3141477651550464e+23,20.6
59.21,10561.711352573857,0.00013334058376249317,4.604737306020992,46.237951936350406,0.000328302404893544,13.462248753969467,1.4132381217853231e+23,20.4
59.21,10602.031084628255,0.00015789609147544076,4.606157900646832,44.02517145072583,0.0003941484233575005,13.418204704255306,1.5195194122893557e+23,20.2
59.21,10642.728038347392,0.00018685787700275329,4.607593439152943,41.93782084719848,0.0004730727588163905,13.409750759082655,1.633395686752945e+23,20.0
59.21,10683.732920562314,0.00022090970292182972,4.609038448604925,39.96096374702875,0.0005664515507947679,13.442279064259301,1.755697513519595e+23,19.8
59.21,10725.036067368048,0.0002608646345384813,4.610487328195337,38.09334938198236,0.0006767697954364382,13.522226063221193,1.8867970934557663e+23,19.6
59.21,10766.624962140826,0.000307663133680919,4.611933325345111,36.3302279301781,0.0008067898716184719,13.657066564972565,2.0272029532765228e+23,19.4
59.21,10808.487412471379,0.0003623862043001269,4.6133686379728305,34.66616454375298,0.0009596432523075047,13.855431369620975,2.1774833861097742e+23,19.2
59.21,10850.610914593177,0.00042626988361889995,4.61478448916828,33.09562765664678,0.0011388566492478152,14.127236528526218,2.33825399136614e+23,19.0
59.21,10892.981775524464,0.0005007128803240158,4.6161712970292355,31.613269229210896,0.0013483058419908672,14.483763673521297,2.5101695966803205e+23,18.8
59.21,10935.589521041107,0.0005873809710014859,4.617519023612314,30.21420071550915,0.0015930368123698514,14.938475863936072,2.693904784281131e+23,18.6
59.21,10978.426096198571,0.0006884198834605005,4.618816962638287,28.892428510483338,0.0018805194653271522,15.508671319793566,2.8903015577076274e+23,18.4
59.21,11021.45755888443,0.0008059067784326098,4.620052947138451,27.639484490782532,0.002214534780427245,16.211352636149183,3.100604933496451e+23,18.2
59.21,11064.671165701819,0.0009422690143997118,4.6212183521527885,26.453573146741828,0.002601920600495793,17.066458935465064,3.32551511851452e+23,18.0
59.21,11108.05066436923,0.0011002832783791844,4.622306070775331,25.33149078238184,0.0030501148168936383,18.09689149523546,3.565903867897723e+23,17.8
59.21,11151.579367956867,0.00128311119217142,4.623311740721681,24.269802047304104,0.0035673453822824422,19.328839875892875,3.822733681078285e+23,17.6
59.21,11195.241447398324,0.001494342369969124,4.624234710362924,23.26509504988863,0.0041626845393299495,20.792170194915286,4.097045426945961e+23,17.4
59.21,11239.022946985975,0.0017380400626665602,4.625078852518311,22.314088619549555,0.004846056261994541,22.52084049393112,4.389953956275484e+23,17.2
59.21,11282.912619310566,0.0020187780671218477,4.625853107075927,21.41369038458875,0.005628120710310389,24.55325521389766,4.702644094159716e+23,17.0
59.21,11326.901930982103,0.002341569699487553,4.626571653640002,20.561059631748428,0.006519171622463932,26.931779574722597,5.036357812563682e+23,16.799999999999997
59.21,11370.99756630611,0.0027134319479833737,4.6272539991604,19.753919984412946,0.007544157723815634,29.715118176434938,5.392301523062805e+23,16.6
59.21,11415.189754549221,0.0031412168804906505,4.627917591146647,18.98670548752934,0.008711964041546583,32.96140876010921,5.772757441789143e+23,16.4
59.21,11459.480615032293,0.003632430216798039,4.628587438062389,18.257704525751173,0.010036394868132657,36.734761592394726,6.17924654576947e+23,16.2
59.21,11503.87788094434,0.0041956204066231975,4.629289583431614,17.565554491056602,0.011534820316855023,41.1084365732773,6.613254939716855e+23,16.0
59.21,11548.39051721728,0.004840409212544107,4.6300477513658915,16.908575115495122,0.013225519456475276,46.165227779683015,7.076453719700776e+23,15.799999999999999
59.21,11593.027051361076,0.005577568927045313,4.6308817599755026,16.285051454830676,0.015127806917487493,51.99823817676132,7.570643784494796e+23,15.6
59.21,11637.793631719196,0.0064191083202683585,4.631806083326934,15.693315837801832,0.017261970984431912,58.7117392810224,8.097741885609981e+23,15.399999999999999
59.21,11682.692138106315,0.007378363085106885,4.632828943667684,15.131778621206866,0.019649135647949276,66.42208167728306,8.659775878657316e+23,15.2
59.21,11727.718561407322,0.008470087964415157,4.6339520424641645,14.598936827399799,0.022311042690857843,75.25863213795384,9.25888472090773e+23,15.0
59.21,11772.861806897887,0.009710542860548217,4.635170915943031,14.093373652616956,0.025269694463287404,85.3646725351961,9.897320947201574e+23,14.799999999999999
59.21,11818.102987376025,0.011117539463343493,4.636475813333439,13.613757225437471,0.028546598118500372,96.89798340509583,1.0577452400384833e+24,14.6
59.21,11863.41504437894,0.012710217414719881,4.6378529643385225,13.158850737008049,0.032159703631540394,110.0292076009363,1.1301752792087824e+24,14.399999999999999
59.21,11908.767410005032,0.014513137607584044,4.639286239665799,12.727597147389034,0.0361621990454496,124.97571540984212,1.2072713600527657e+24,14.2
59.21,11954.117622918719,0.016553105615821215,4.6407554357183285,12.317891190575205,0.040584212164318845,141.97595972476307,1.2894075667578834e+24,14.0
59.21,11999.414478963083,0.018855875167332874,4.642241098430916,11.928168435886912,0.04542248391217347,161.26245196735331,1.3769583578436973e+24,13.799999999999999
59.21,12044.60601865624,0.02145040388105996,4.643727732241913,11.557937399087153,0.05070119080347919,183.09705035859182,1.4702127591004598e+24,13.6
